,Feature,Score,p-value
106,FWC,183894.68870408545,0.0
88,TOTCSHCN,4296.249771634475,0.0
104,FPL_I5,2789.3372959458,0.0
101,FPL_I2,2725.4341033021815,0.0
100,FPL_I1,2674.722285783162,0.0
102,FPL_I3,2376.4952599519524,0.0
103,FPL_I4,2371.8572050636217,0.0
105,FPL_I6,2361.600015084399,0.0
64,K8Q31,1704.9348498640595,0.0
68,K7Q04R_R,911.6654015121513,2.8570684138075194e-200
58,K7Q82_R,902.754850811207,2.471441215059331e-198
56,K7Q84_R,802.4702502720115,1.5666979583526042e-176
60,BULLIED_R,769.440004146957,2.3796664904445714e-169
75,K4Q22_R,722.29640773909,4.2394648826442996e-159
65,K8Q32,709.4609474326018,2.620465892677868e-156
83,MAKEFRIEND,696.4575955191807,1.762081783570655e-153
57,K7Q85_R,618.5838290355679,1.5197415744534289e-136
19,K4Q23,582.2868564995497,1.193011332733353e-128
93,SC_K2Q22,431.49899756165553,7.667127037346614e-96
10,MEMORYCOND,422.14182062057745,8.341736526660589e-94
135,K2Q34A,417.4911883037881,8.580698678114881e-93
98,FAMILY_R,398.1368708716026,1.4012537255776154e-88
90,SC_K2Q13,381.3902395810609,6.198486769695707e-85
67,K7Q02R_R,302.9947648583907,7.33370752142066e-68
59,K7Q70_R,294.08462138219375,6.405829070988949e-66
54,K2Q01,285.7536323264498,4.186244416784484e-64
55,K6Q71_R,270.39690394187977,9.298352368972234e-61
61,BULLY,258.1945821735188,4.246775387555922e-58
66,K8Q34,245.44522552273293,2.555391792620073e-55
129,K2Q33A,218.6443099323517,1.78689169132903e-49
78,K8Q21,210.39968688384957,1.1237400069565964e-47
140,K2Q30A,208.29676613913864,3.2319914483630164e-47
51,A1_MENTHEALTH,181.9434212064351,1.824336409220124e-41
96,TOTFEMALE,151.3753488937397,8.676609229864227e-35
5,MOMAGE,125.45155396253062,4.053664407942487e-29
82,ACE1,122.11173292844276,2.181970975094254e-28
50,A1_PHYSHEALTH,112.85429559163309,2.322285239755107e-26
46,A1_EMPLOYED,89.08965434120063,3.773190709476283e-21
3,SC_AGE_YEARS,88.83702223575146,4.287169154004608e-21
97,BIRTHWT_OZ_S,84.2996706684909,4.251860005871394e-20
53,A2_MENTHEALTH,84.05125252511277,4.8211286635677236e-20
137,K2Q36A,80.31346085727952,3.19485222152886e-19
79,K8Q30,79.85732330435648,4.024458591891425e-19
6,A1_AGE,79.74794395872301,4.253529830769843e-19
71,SCREENTIME,77.0885910491863,1.634588456054135e-18
130,K2Q32A,74.60595907854189,5.746947400468083e-18
4,SC_SEX,70.10573976428265,5.620917753405121e-17
91,SC_K2Q16,66.95755451369139,2.774162777478686e-16
86,TOTAGE_6_11,60.18018550804391,8.655920215472661e-15
73,FOODSIT,48.045081794327125,4.165311175956023e-12
69,PHYSACTIV,47.94014147263607,4.3943209519547735e-12
52,A2_PHYSHEALTH,46.136019475906224,1.1032144562669255e-11
81,BEDTIME,45.128199882590984,1.8454868281222506e-11
7,A2_AGE,43.19410338747443,4.9569845707593493e-11
95,TOTMALE,38.434449221264245,5.662398473500672e-10
76,HOSPITALER,36.43797585994104,1.576023894732993e-09
34,ACE3,35.66413159618354,2.344410312913931e-09
70,HOURSLEEP,33.901946757280896,5.7960675235659325e-09
43,ACE11,33.82848926463768,6.0190940339142225e-09
9,FAMCOUNT,33.347892741144726,7.70612756363878e-09
77,S4Q01,33.2535384708485,8.089242540131963e-09
72,K8Q11,33.13742157992906,8.587007044764078e-09
21,K7Q30,32.695864346413465,1.0776627149391455e-08
139,K2Q37A,29.91797958505155,4.507139294495274e-08
