Feature Name,Description,Score,,Ali,Sina,Borhan,Yazdan,Dr Sheikhy,
K4Q23,Emotions Concentration Behavior Medication,0.1317977173,13.18%,-,,,-,Y,
K2Q34A,"Behavior Problems (T1 T2 T3)
Header: Has a doctor, other health care provider, or educator EVER told you that this child has…
Behavioral or Conduct Problems?
Examples of educators are teachers and school nurses.",0.1096396411,10.96%,-,,,-,Y,
K2Q34B,"Behavior Problems Currently (T1 T2 T3)
If yes, does this child CURRENTLY have the condition?",0.102587317,10.26%,-,Y,,-,,
MEMORYCOND,"Serious Difficulty Concentrating, Remembering, or Making Decisions (T2 T3)
Header: Does this child have any of the following?
Serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or 
emotional condition",0.09899405446,9.90%,Y,Y,,Y ,Y,
K2Q34C,Behavior Problems Severity,0.09297471703,9.30%,,-,,Y,,
TOTCSHCN,"Count of Children with Special Health Care Needs in
 Household (S1)",0.08520951216,8.52%,Y,-,,Y,Y,
SC_K2Q22,"SC Needs Treatment for Emotion Develop Behave (S1)
Does this child have any kind of emotional, developmental,
 or behavioral problem for which they need 
treatment or counseling?",0.08030827287,8.03%,-,Y,,-,Y,
SC_K2Q13,"SC Needs or Uses More Medical Care than Others (S1)
Does this child need or use more medical care,
 mental health, or educational services than is usual for 
most children of the same age?",0.07331939626,7.33%,-,Y,,-,,
K2Q30A,"Learning Disability (T1 T2 T3)
Header: Has a doctor, other health care provider, or educator EVER told you that this child has…
Learning Disability?
Examples of educators are teachers and school nurses.",0.06183155783,6.18%,Y,Y,,Y,Y,
K7Q84_R,Works to Finish Tasks Started,0.05586913478,5.59%,Y,,,Y,Y,
K8Q31,How Often Have You Felt - Child Hard to Care For,0.05322053699,5.32%,S,,,Y,Y,
K4Q22_R,Mental Health Professional Treatment,0.05296499119,5.30%,Y,,,Y,Y,
K2Q30C,Learning Disability,0.05097844291,5.10%,Y,,,Y,Y,
K7Q85_R,Stays Calm and In Control When Challenged,0.04624838577,4.62%,Y,,,Y,Y,
MAKEFRIEND," Difficulty Making or Keeping Friends (T1 T2 T3)
Compared to other children their age, how much difficulty
 does this child have making or keeping friends?",0.04333054208,4.33%,Y,,,Y,Y,
K2Q33A,"Anxiety (T1 T2 T3)
Header: Has a doctor or other health care provider EVER told you that this child has…
Anxiety Problems?",0.04279962808,4.28%,Y,,,Y,Y,
K2Q33C,Anxiety Severity,0.04061897301,4.06%,Y,,,Y,,
K7Q04R_R,Times School Contacted Household About Problems,0.04016582486,4.02%,Y,,,Y,Y,
K7Q82_R,Cares About Doing Well in School,0.040057987,4.01%,Y,,,Y,Y,
